Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	MXF0224	MXF2938	MXF6221	MXF675	MXF742	MXF7671	MXF9	PMFH904	MXF909	MXF911	MXF1041	MXF2516	MXF632	MXF633	MXF659	MXF730	MXF832	MXF851	PMFH864	PMFH30	PMFH35	PMFH41	PMFH6	PMFH759	PMFH762	PMFH763	PMFH764	PMFH767	PMFH774	PMFH814	PMFH816	PMFH817	PMFH818	PMFH819	PMFH833	PMFH853	PMFH854	PMFH857	PMFH859	PMFH860	PMFH862	PMFH865	PMFH867	PMFH870	PMFH876	PMFH877	PMFH878	PMFH898	PMFH899	PMFH905	PMFH910	MXF2553	MXF664	MXF6838	MXF9679
Amplification Peak  1	1p32.1  	chr1:53503084-64517719(probes 24612:29778)        	chr1:59678281-60171523(probes 27598:27848)        	chr1:53503084-68115891(probes 24612:31569)        	0.0063925	   0.021975		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	0	0	1	2	2	2	0	0	0	0	2	1	0	1	1	1	2	0	1	1	0	2	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	2	0	1	1	1	0	0	2	2	0	1	2
Amplification Peak  2	1p31.1  	chr1:75337664-79951656(probes 34322:36381)        	chr1:79118171-79254022(probes 36137:36189)        	chr1:76650869-79964479(probes 34868:36383)        	0.02506	     0.1284		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	1	0	0	1	1	2	0	1	1	0	0	1	1	0	2	1	1	2	0	1	1	0	2	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	2	2	0	0	0
Amplification Peak  3	1p22.3  	chr1:87917422-89130679(probes 39333:39610)        	chr1:88195677-88224911(probes 39378:39382)        	chr1:87918618-89133784(probes 39334:39612)        	0.031564	     0.1493		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	1	0	0	1	1	2	0	1	0	0	0	1	1	0	1	0	1	2	0	1	1	0	0	1	0	1	1	1	1	2	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	2	0	0	0	0
Amplification Peak  4	1q21.2  	chr1:149103195-149200648(probes 53040:53058)    	chr1:149144535-149179959(probes 53044:53055)    	chr1:149041934-149815144(probes 53030:53070)    	0.0063925	   0.011067		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	0	0	2	1	0	1	0	1	0	2	0	1	2	1	0	1	2	2	0	0	0	1	0	1	2	0	1	2	0	1	1	0	0	0	2	1	1	2	2	0	0	1	2	2	1	0	2	1	1	2	1	0	0
Amplification Peak  5	1q24.3  	chr1:150455581-178869800(probes 53444:67517)    	chr1:172113587-172121331(probes 64402:64412)    	chr1:169413881-177342828(probes 63076:66903)    	0.023724	   0.032547		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	0	0	2	0	2	2	0	0	1	2	1	1	1	0	1	1	1	2	2	0	0	1	0	0	2	1	0	1	0	1	0	1	0	0	1	1	0	1	0	2	0	2	1	1	0	0	0	1	0	0	1	0	0
Amplification Peak  6	2p22.3  	chr2:34686100-34727028(probes 111441:111453)      	chr2:34686237-34726428(probes 111442:111452)      	chr2:34686237-34761892(probes 111442:111457)      	0.011067	   0.011067		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	1	0	1	1	0	2	1	1	0	0	1	0	0	0	1	2	0	0	0	2	1	2	0	2	0	0	0	1	1	1	2	2	1	0	0	1	1	2	2	0
Amplification Peak  7	2q14.3  	chr2:82166487-219301451(probes 131808:181498)    	chr2:122897996-123000020(probes 143679:143700)  	chr2:122469924-123149131(probes 143579:143721)  	0.17003	    0.17003		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	1	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	2	2	0	1	0	0	0	1	1	0	1
Amplification Peak  8	3p12.1  	chr3:85914590-87308968(probes 227884:228312)      	chr3:86040635-86246652(probes 227955:228038)      	chr3:85916920-87290166(probes 227885:228299)      	0.035856	   0.035856		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	1	1	0	0	0	2	0	1	0	1	0	0	1	1	2	0	1	1	0	0	0	0	0	1	0	2	0	1	0	0	1
Amplification Peak  9	3q26.1  	chr3:162504764-162641111(probes 256772:256797)  	chr3:162545031-162565794(probes 256779:256781)  	chr3:162514535-162643561(probes 256773:256799)  	0.010222	   0.010222		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	2	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	2	2	1	1	0	0	1	0	0	0	2	0	2	0	2	0	1	0	1	2	0	2	0	0	0	2	0	0	2	0	0	1	0	0
Amplification Peak 10	4p16.1  	chr4:10096939-10264050(probes 275852:275882)      	chr4:10114137-10166202(probes 275859:275874)      	chr4:10099297-10244611(probes 275853:275881)      	0.14892	    0.14892		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	0	2	1	0	2	0	0	1	1	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	1	2	0	1	0	0	1	2	1	0	1	0	2	1	1	2	0	2	1	2	0	1	1	0	2	2	1	0	0
